site,domain,phylum,class,order,family,genus,species,abundance
D5,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,HGW-15,,,1
D5,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,UBA9959,UBA2231,,1
D5,Bacteria,Elusimicrobiota,Endomicrobia,Elusimicrobia-1,Elusimicrobia-1,Elusimicrobia-1,,1
D5,Bacteria,Eremiobacterota,Eremiobacteria,Eremiobacterales,,,,1
D5,Bacteria,Firmicutes_B,Desulfotomaculia,Ammonifexales,Ammonificaceae,,,2
D5,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,,,,1
D5,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,BRHc4a,,,1
D5,Bacteria,Gemmatimonadota,GCA-2686955,,,,,1
D5,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,,,2
D5,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,,,1
D5,Bacteria,Omnitrophota,koll11,,,,,1
D5,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,,2
D5,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,,2
D5,Bacteria,Patescibacteria,,,,,,1
D5,Bacteria,Patescibacteria,ABY1,GCA-002771165,,,,1
D5,Bacteria,Patescibacteria,Kazan,,,,,1
D5,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,,,2
D5,Bacteria,Patescibacteria,Paceibacteria,UBA6257,,,,1
D5,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Brennerbacteraceae,,,1
D5,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,,,1
D5,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,,,1
D5,Bacteria,Planctomycetota,Brocadiae,,,,,1
D5,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculum,,1
D5,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,,,1
D5,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,,1
D5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,1
D5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,,,1
D5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,,1
D5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,,,2
D5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,UBA2250,,1
D5,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalivibrionaceae,Thioalkalivibrio,GCF_000025545.1,1
D5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Ketobacteraceae,,,1
D5,Bacteria,Proteobacteria,Gammaproteobacteria,UBA5335,UBA5335,,,1
D5,Bacteria,UBA9089,UBA9088,UBA9088,,,,1
D5,Bacteria,UBP1,PRR-12,,,,,1
D5,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Didemnitutus,,1
D6,Bacteria,Actinobacteriota,RBG-13-55-18,RBG-13-55-18,RBG-13-55-18,,,1
D6,Bacteria,Armatimonadota,,,,,,1
D6,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,UBA6192,,1
D6,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,,,1
D6,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,,1
D6,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,,,4
D6,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,XYB12-FULL-38-5,,1
D6,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,XYC2-FULL-35-21,,,1
D6,Bacteria,Bipolaricaulota,Bipolaricaulia,Bipolaricaulales,Bipolaricaulaceae,Bipolaricaulis,,1
D6,Bacteria,Chloroflexota,,,,,,1
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,,,3
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4781,,2
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA5211,,2
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,,1
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,UBA6170 sp1,1
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA8523,,2
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,,,2
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,OLB14,,1
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,UBA8950,,1
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11579,UBA11579,,2
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,,,2
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,RBG-16-57-11,,1
D6,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA6092,,,1
D6,Bacteria,Chloroflexota,Anaerolineae,SBR1031,UBA2029,,,1
D6,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,UBA3254,,,1
D6,Bacteria,Deferrisomatota,Deferrisomatia,Deferrisomatales,Deferrisomataceae,,,1
D6,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,RBG-16-49-23,,1
D6,Bacteria,Desulfobacterota,BSN033,UBA8473,UBA8473,UBA8473,,1
D6,Bacteria,Desulfobacterota,Desulfarculia,Desulfarculales,Desulfarculaceae,,,3
D6,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,,,1
D6,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,CG2-30-51-40,CG2-30-51-40,,1
D6,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,HGW-15,,,1
D6,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,HGW-15,HGW-15,,1
D6,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,20-14-all-51-8,,,1
D6,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfatibacillaceae,,,1
D6,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,,2
D6,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA2245,,,1
D6,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,,3
D6,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,,,1
D6,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,,,2
D6,Bacteria,Desulfobacterota,JdFR-97,JdFR-97,JdFR-97,,,1
D6,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,UBA9959,UBA2231,,1
D6,Bacteria,Eremiobacterota,,,,,,1
D6,Bacteria,Firmicutes,Alicyclobacillia,Tumebacillales,Effusibacillaceae,,,1
D6,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,UBA2284,,1
D6,Bacteria,Firmicutes_B,Desulfotomaculia,Ammonifexales,Ammonificaceae,,,1
D6,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,BRHc4a,,,1
D6,Bacteria,Firmicutes_B,Thermincolia,Thermincolales,UBA2595,,,1
D6,Bacteria,Firmicutes_D,Dethiobacteria,DTU022,DTU022,,,1
D6,Bacteria,Firmicutes_D,Dethiobacteria,DTU022,UBA8154,UBA9862,,3
D6,Bacteria,Firmicutes_E,DTU015,UBA8153,,,,1
D6,Bacteria,Firmicutes_E,DTU015,UBA8153,UBA8153,,,1
D6,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,,,2
D6,Bacteria,Firmicutes_E,DTU015,UBA995,,,,1
D6,Bacteria,Firmicutes_E,UBA3569,,,,,1
D6,Bacteria,Gemmatimonadota,GCA-2686955,,,,,1
D6,Bacteria,Myxococcota,UBA1671,,,,,1
D6,Bacteria,OLB16,OLB16,,,,,1
D6,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,,2
D6,Bacteria,Patescibacteria,ABY1,UBA10025,,,,1
D6,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Woesebacteraceae,,,1
D6,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Woesebacteraceae,GWB1-39-10,,1
D6,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Woesebacteraceae,GWC1-37-12b,,1
D6,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,UBA12405,,,1
D6,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,Um-filter-40-11,,,2
D6,Bacteria,Patescibacteria,Microgenomatia,Woykebacterales,,,,1
D6,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,,,1
D6,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,GWA2-45-9,,1
D6,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Campbellbacteraceae,UBA12079,,1
D6,Bacteria,Patescibacteria,WWE3,UBA101185,UBA10185,OXYD1-FULL-39-9,,1
D6,Bacteria,Planctomycetota,,,,,,1
D6,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,PLanc-01,,1
D6,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,,,,1
D6,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Sulfuricellaceae,UBA2239,,1
D6,Bacteria,Spirochaetota,Brevinematia,Brevinematales,GWF1-51-8,GWF1-51-8,,1
D6,Bacteria,UBA3054,UBA3054,,,,,1
D6,Bacteria,UBP1,PRR-12,SSS58A,SSS58A,SSS58A,GCA_002403075.1,1
D6,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,Zixibacteria-1,,,1
SW,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,OLB17,,1
SW,Bacteria,Acidobacteriota,Luteitaleia,,,,,1
SW,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,UBA1487,,1
SW,Bacteria,Bacteroidota,Bacteroidia,AKYH767,2-12-FULL-35-15,,,1
SW,Bacteria,Bacteroidota,Bacteroidia,AKYH767,2-12-FULL-35-15,2-12-FULL-35-15,,1
SW,Bacteria,Bacteroidota,Bacteroidia,AKYH767,GCA-2737665,,,1
SW,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,,,1
SW,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UTBCD1,,1
SW,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,,,,2
SW,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,UBA9320,,,1
SW,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,Kapabacteriaceae,,,1
SW,Bacteria,Bdellovibrionota,Bacteriovoracia,UBA1018,UBA1018,,,2
SW,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,OLB14,,1
SW,Bacteria,Cyanobacteriota,Vampirovibrionia,Caenarcaniphilales,2-02-FULL-35-15,,,1
SW,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,,,,2
SW,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,,,3
SW,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,Ga0077546,,1
SW,Bacteria,Dadabacteria,UBA1144,UBA2774,UBA2774,,,1
SW,Bacteria,Dependentiae,Babeliae,Babeliales,,,,2
SW,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,,,2
SW,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,,,4
SW,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,Vermiphilus,Vermiphilus pyriformis,1
SW,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,21-14-0-20-64-6,,1
SW,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,UBA6488,,1
SW,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,UBA6488,GCA_002083555.1,1
SW,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,GWA1-54-10,,1
SW,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,SM1A02,UBA11155,,1
SW,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,,1
SW,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,,,1
SW,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Thermoguttaceae,,,1
SW,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,UBA7805,,,1
SW,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Planctomycetaceae,,,2
SW,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,3
SW,Bacteria,Proteobacteria,Alphaproteobacteria,Caedibacterales,Nucleicultricaceae,Nucleicultrix,Nucleicultrix amoebiphila,2
SW,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,,1
SW,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,,,1
SW,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,,1
SW,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ga0077548,,1
SW,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,,3
SW,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,,1
SW,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,UBA6177,,,1
SW,Bacteria,Proteobacteria,Alphaproteobacteria,SL26,SL26,UBA11222,,1
SW,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhabdus,,1
SW,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,,1
SW,Bacteria,Proteobacteria,Alphaproteobacteria,UBA9655,UBA9655,,,1
SW,Bacteria,Proteobacteria,Alphaproteobacteria,UBA9655,UBA9655,UBA9655,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Berkiellales,Berkiellaceae,Berkiella,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Berkiellales,UBA6186,,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,Aquabacterium parvum,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hylemonella,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera_A,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SG8-41,,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SG8-41,Ga0077527,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,,,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077554,Ga007554,Ga0077554,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,3
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella_B,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,UBA11403,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,HB2-32-21,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,UBA1113,,,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,UBA1113,UBA1113,,,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,UBA5335,UBA5335,UBA5335,GCA_002862435.1,1
SW,Bacteria,Proteobacteria,Gammaproteobacteria,UBA6002,UBA6002,UBA6002,,1
SW,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,,,,1
SW,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Ga0074140,,,2
SW,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,,,4
SW,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,,,1
SW,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,,,,1
WC,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Rhodoluna,,1
WC,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,AcAMD-5,,,1
WC,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,,1
WC,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,,2
WC,Bacteria,Bacteroidota,Bacteroidia,AKYH767-A,2013-40CM-41-45,,,1
WC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,,1
WC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UBA10320,,1
WC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,,1
WC,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,1
WC,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Solitaleaceae,,,1
WC,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Chamaesiphonaceae,Chamaesiphon,,1
WC,Bacteria,Cyanobacteriota,Cyanobacteriia,Thermosynechococcales,Thermosynechococcaceae,,,1
WC,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,,1
WC,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,,,1
WC,Bacteria,Omnitrophota,Omnitrophia,Omnitrophales,GWA2-52-8,,,1
WC,Bacteria,Omnitrophota,UBA9649,2-02-FULL-51-18,,,,2
WC,Bacteria,Patescibacteria,ABY1,Uhrbacterales,UBA9934,UBA11707,,1
WC,Bacteria,Patescibacteria,Berkelbacteria,,,,,1
WC,Bacteria,Patescibacteria,Gracilibacteria,BD1-5,UBA6164,GCA-2747975,,1
WC,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,,,6
WC,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,,,1
WC,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,,,1
WC,Bacteria,Patescibacteria,Paceibacteria,UBA9983,GCA-2401445,,,2
WC,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,,,3
WC,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,1-14-0-10-45-20,,1
WC,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,2-01-FULL-51-21,,1
WC,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,UBA10103,,2
WC,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Nomurabacteraceae,2-01-FULL-33-17,,1
WC,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Taylorbacteraceae,,,2
WC,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Taylorbacteraceae,UBA6065,,1
WC,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA1006,,,1
WC,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Zambryskibacteraceae,,,1
WC,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Zambryskibacteraceae,12-FULL-43-12b,,1
WC,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Zambryskibacteraceae,UBA910,,1
WC,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,,,1
WC,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,OSC116,,,1
WC,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter_A,,1
WC,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,GCA-2402195,,1
WC,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ga0077559,,1
WC,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Brachymonas,,1
WC,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polaromonas,,2
WC,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polynucleobacter,,2
WC,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhodoferax,,1
WC,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,UBA2334,,1
WC,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylophilus,,1
WC,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,SM23-39,,,1
