site,genome,domain,phylum,class,order,family,genus,species
D1,8,Archaea,Nanoarchaeota,Woesearchaeia,Pacearchaeales,CG1-02-32-21,,
D1,7,Archaea,Nanoarchaeota,Woesearchaeia,UBA10200,UBA10200,,
D1,25,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10161,,
D1,24,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,UBA349,
D1,13,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Variovorax,Variovorax paradoxus_B
D1,10,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp5
D1,1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,GCF_000510915.2
D1,22,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,,
D1,18,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,,
D1,16,Bacteria,Patescibacteria,ABY1,UBA2591,,,
D1,11,Bacteria,Patescibacteria,ABY1,Uhrbacterales,2-12-FULL-60-25,2-12-FULL-60-25,
D1,23,Bacteria,Patescibacteria,ABY1,UBA1544,,,
D1,9,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,um-filter-44-12,
D1,14,Bacteria,UBA9089,UBA9088,UBA9088,,,
D1,6,Bacteria,UBA9089,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,,
D1,19,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,,,
D1,3,Bacteria,Verrucomicrobiota,Lentisphaeria,UBA1784,GWF2-50-93,,
D1,20,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio_P,
D1,17,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,,
D1,5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,
D1,12,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,
D1,15,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,
D1,2,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,,
D1,21,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Gallionella,
D1,4,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,
D2,30,Archaea,Nanoarchaeota,Woesearchaeia,SM23-78,SM23-78,,
D2,15,Archaea,Nanoarchaeota,Woesearchaeia,SM23-78,UBA9642,UBA9642,
D2,77,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA11576,,
D2,42,Archaea,Nanoarchaeota,Woesearchaeia,GW2011-AR15,GW2011-AR15,,
D2,14,Archaea,Micrarchaeota,Micrarchaeia,UBA8480,UBA97,,
D2,7,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10161,,
D2,26,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,,,
D2,91,Archaea,Micrarchaeota,Iainarchaeia,0-14-0-20-30-16,,,
D2,69,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,,,
D2,21,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,GCA-2688035,,
D2,50,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,1-14-0-10-31-34,1-14-0-10-31-34,
D2,43,Archaea,Thermoplasmatota,Thermoplasmata_A,UBA10834,UBA10834,COMBO-56-21,
D2,90,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,,
D2,52,Bacteria,Patescibacteria,Microgenomatia,UBA10105,,,
D2,35,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,UBA12405,UBA12158,
D2,98,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Amesbacteraceae,,
D2,75,Bacteria,Patescibacteria,Microgenomatia,UBA1400,,,
D2,25,Bacteria,Patescibacteria,Berkelbacteria,2-12-FULL-50-11,,,
D2,61,Bacteria,Patescibacteria,Berkelbacteria,,,,
D2,60,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,,
D2,38,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,,
D2,85,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA12445,,
D2,19,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Vogelbacteraceae,,
D2,71,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Nomurabacteraceae,UBA9973,
D2,62,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Nomurabacteraceae,UBA9973,
D2,78,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,,
D2,55,Bacteria,Patescibacteria,Paceibacteria,Ryanbacterales,GWA2-47-10b,,
D2,41,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,
D2,84,Bacteria,Patescibacteria,ABY1,Falkowbacterales,GWE2-39-37,,
D2,92,Bacteria,Patescibacteria,ABY1,Falkowbacterales,UBA917,,
D2,82,Bacteria,Patescibacteria,ABY1,Falkowbacterales,UBA12465,UBA12465,
D2,48,Bacteria,Patescibacteria,ABY1,Falkowbacterales,UBA12465,UBA12465,
D2,27,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,,
D2,29,Bacteria,Patescibacteria,ABY1,XYB2-FULL-38-15,,,
D2,23,Bacteria,Patescibacteria,ABY1,Veblenbacterales,UBA10138,,
D2,86,Bacteria,Patescibacteria,ABY1,Veblenbacterales,,,
D2,33,Bacteria,Omnitrophota,UBA9649,UBA9649,UBA9649,2-02-FULL-67-20,
D2,11,Bacteria,Omnitrophota,koll11,1-14-0-20-42-13,,,
D2,87,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,um-filter-44-12,
D2,40,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,um-filter-44-12,
D2,20,Bacteria,Omnitrophota,koll11,UBA1572,,,
D2,59,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,
D2,66,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,
D2,49,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,GCA-002774445,
D2,68,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,GCA-002774445,
D2,5,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,,
D2,44,Bacteria,Omnitrophota,koll11,UBA10183,UBA10183,UBA10183,
D2,72,Bacteria,Omnitrophota,4484-49,,,,
D2,79,Bacteria,Eisenbacteria,RBG-16-71-46,,,,
D2,100,Bacteria,UBP1,PRR-12,LZORAL124-64-63,LZORAL124-64-63,um-filter-65-15,
D2,74,Bacteria,Zixibacteria,MSB-5A5,,,,
D2,93,Bacteria,Zixibacteria,MSB-5A5,,,,
D2,6,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,Zixibacteria-1,,
D2,96,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,,,
D2,39,Bacteria,Zixibacteria,MSB-5A5,,,,
D2,37,Bacteria,Zixibacteria,MSB-5A5,,,,
D2,4,Bacteria,Bacteroidota,UBA10030,UBA10030,,,
D2,67,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA8401,,
D2,22,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,UBA9647,
D2,56,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,navibacteriae-3,
D2,18,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,UBA1563,
D2,36,Bacteria,AABM5-125-24,AABM5-125-24,,,,
D2,58,Bacteria,Latescibacterota,UBA2968,UBA8231,,,
D2,28,Bacteria,Planctomycetota,UBA8742,,,,
D2,94,Bacteria,Planctomycetota,Brocadiae,,,,
D2,80,Bacteria,Planctomycetota,Brocadiae,SM23-32,,,
D2,2,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,UBA1845,,
D2,9,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,,,
D2,57,Bacteria,Acidobacteriota,Luteitaleia,,,,
D2,88,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5066,UBA5066,,
D2,53,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,UBA2262,
D2,17,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,,
D2,81,Bacteria,Desulfobacterota,Desulfobulbia,,,,
D2,32,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,BuS5,,
D2,83,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae_A,,
D2,95,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae_A,,
D2,31,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,YD0425bin50,,
D2,97,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,,
D2,10,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfatibacillaceae,,
D2,24,Bacteria,Desulfobacterota,Desulfarculia,Adiutricales,,,
D2,45,Bacteria,Desulfobacterota,Desulfobaccia,RBG-13-43-22,,,
D2,51,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,CG2-30-49-12,CG2-30-49-12,
D2,89,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,UBA5619,UBA5619,
D2,70,Bacteria,UBA10199,UBA10199,GCA-002796325,1-14-0-20-49-13,,
D2,63,Bacteria,UBA10199,UBA10199,GCA-002796325,1-14-0-20-49-13,,
D2,8,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2-30-66-27,
D2,54,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,RBG-16-64-85,
D2,64,Bacteria,MBNT15,MBNT15,MBNT15,,,
D2,3,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,,
D2,73,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,,
D2,47,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,,
D2,13,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,,
D2,12,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,,
D2,1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,
D2,99,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,
D2,16,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,
D2,34,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,
D2,76,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,
D2,46,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Sulfuritalea,
D2,65,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Thiomonas,
D3,40,Archaea,Nanoarchaeota,Woesearchaeia,Pacearchaeales,GW2011-AR1,,
D3,20,Archaea,Nanoarchaeota,Woesearchaeia,ARS49,GCA-2687275,,
D3,37,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA10107,,
D3,27,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA11576,,
D3,35,Archaea,Nanoarchaeota,Woesearchaeia,GW2011-AR9,GW2011-AR9,um-filter-33-13,
D3,70,Archaea,Micrarchaeota,Micrarchaeia,UBA8480,UBA8480,,
D3,13,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,,
D3,33,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,,
D3,23,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,,
D3,25,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,GCA-2688035,,
D3,24,Archaea,Micrarchaeota,Iainarchaeia,,,,
D3,39,Archaea,Thermoplasmatota,CG49143,CG49143,CG49143,CG49143,
D3,91,Archaea,Thermoplasmatota,E2,hermoplasmata-2,hermoplasmata-2,hermoplasmata-2,
D3,59,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,UBA6170 sp1
D3,41,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4781,
D3,29,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,RBG-16-57-11,
D3,51,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,,
D3,53,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,,
D3,79,Bacteria,Chloroflexota,,,,,
D3,61,Bacteria,Patescibacteria,Dojkabacteria,SC72,GCA-002793355,GCA-002793355,
D3,57,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,XYB1-FULL-47-11,
D3,28,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,UBA12405,UBA12158,
D3,54,Bacteria,Patescibacteria,Microgenomatia,UBA1400,Collierbacteraceae,UBA10133,
D3,50,Bacteria,Patescibacteria,Microgenomatia,UBA1400,,,
D3,72,Bacteria,Patescibacteria,Microgenomatia,UBA1400,Beckwithbacteraceae,,
D3,46,Bacteria,Patescibacteria,Paceibacteria,,,,
D3,58,Bacteria,Patescibacteria,Paceibacteria,UBA6257,1-14-0-10-40-38,,
D3,67,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,,
D3,64,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,CG1-02-41-26,,
D3,78,Bacteria,Patescibacteria,ABY1,,,,
D3,82,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,
D3,94,Bacteria,Patescibacteria,ABY1,Magasanikibacterales,UBA10003,UBA10003,
D3,34,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,,
D3,36,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,UBA12403,
D3,42,Bacteria,Patescibacteria,ABY1,Uhrbacterales,UBA9934,UBA11707,
D3,69,Bacteria,Patescibacteria,ABY1,Veblenbacterales,UBA10138,,
D3,38,Bacteria,Patescibacteria,Gracilibacteria,Peregrinibacterales,LOWO2-01-FULL-3,2-01-FULL-39-12,
D3,63,Bacteria,Patescibacteria,Gracilibacteria,Peregrinibacterales,UBA1369,,
D3,60,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,,
D3,84,Bacteria,Actinobacteriota,UBA9087,UBA9087,,,
D3,18,Bacteria,Actinobacteriota,,,,,
D3,11,Bacteria,Actinobacteriota,Thermoleophilia,,,,
D3,96,Bacteria,Actinobacteriota,UBA4738,,,,
D3,65,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,,
D3,76,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,,
D3,49,Bacteria,Firmicutes_E,DTU015,UBA995,,,
D3,74,Bacteria,Firmicutes_E,DTU015,UBA8153,,,
D3,43,Bacteria,Margulisbacteria,WOR-1,O2-12-FULL-45-9,XYB2-FULL-48-7,2-01-FULL-53-15,
D3,47,Bacteria,Margulisbacteria,WOR-1,O2-12-FULL-45-9,,,
D3,56,Bacteria,Fusobacteriota,,,,,
D3,17,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,,
D3,19,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,UBA9636,
D3,48,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,
D3,44,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,
D3,15,Bacteria,Omnitrophota,koll11,UBA6215,,,
D3,88,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,2-01-FULL-45-10,
D3,87,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,2-01-FULL-45-10,
D3,83,Bacteria,Omnitrophota,koll11,UBA10183,,,
D3,71,Bacteria,UBA9089,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,,
D3,73,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,UBA9628,
D3,7,Bacteria,Goldbacteria-1,Goldbacteria-1,,,,
D3,22,Bacteria,Eisenbacteria,RBG-16-71-46,,,,
D3,1,Bacteria,Edwardsbacteria,AC1,AC1,EtOH8,UBA2226,
D3,99,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,,,
D3,21,Bacteria,Zixibacteria,MSB-5A5,,,,
D3,3,Bacteria,Zixibacteria,MSB-5A5,,,,
D3,85,Bacteria,Bacteroidota,UBA10030,UBA10030,,,
D3,9,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA8401,,
D3,81,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,,
D3,6,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,,
D3,4,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,
D3,5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Lentimicrobiaceae,,
D3,2,Bacteria,AABM5-125-24,AABM5-125-24,,,,
D3,89,Bacteria,OLB16,OLB16,OLB16,OLB16,,
D3,45,Bacteria,Planctomycetota,Brocadiae,,,,
D3,52,Bacteria,Planctomycetota,Brocadiae,,,,
D3,66,Bacteria,Planctomycetota,,,,,
D3,68,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,PLanc-01,
D3,77,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,,
D3,10,Bacteria,Spirochaetota,Brevinematia,Brevinematales,GWF1-51-8,,
D3,97,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,,
D3,62,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,
D3,93,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,
