full.name,hex.color
Euryarchaeota,#560b8e
Crenarchaeota,#790FC8
Halobacteria,#8A11E4
Thaumarchaeota,#680DAB
Altiarchaeota,#F6EEFC
Asgardaeota,#E5CCF7
Nanoarchaeaeota,#D3AAF1
Micrarchaeota,#C288EC
Diapherotrites,#B977E9
Hadesarchaeaeota,#DECBFF
Hydrothermarchaeota,#BAA2E6
Archaea,#A200FF
Thermoplasmata,#342D62
Woesearchaeota,#272051
Alphaproteobacteria,#202020
Betaproteobacteria,#585858
Deltaproteobacteria,#989898
Gammaproteobacteria,#C8C8C8
Epsilonbacteraeota,#D3D3D3
Oligoflexia,#F0F0F0
Proteobacteria,#808080
Acidobacteria,#5200D1
Actinobacteria,#005CFF
Bacteroidetes,#0084FF
Chlamydiae,#00A1FF
Parachlamydiales,#00A1FF
Chlorobi,#b3e0ff
Chloroflexi,#00B9E0
Anaerolineales,#00B9E0
Cyanobacteria,#CCD0FF
Cytophagia,#BBCCDD
Deinococcus-Thermus,#AABBDD
Desulfobacterota,#ADB1D8
Fibrobacteres,#99A2FF
Firmicutes,#7984F2
Clostridia,#7984F2
Fusobacteria,#3f457F
Myxococcota,#222299
Nitrospirae,#112288
Planctomycetes,#0015E5
Phycisphaerae,#0015E5
Brocadiae,#0015E5
Spirochaetes,#111188
Tenericutes,#000FA8
Verrucomicrobia,#001166
Armatimonadetes,#79D9F2
Caldiserica,#00B6E5
Calditrichaeota,#227799
Elusimicrobia,#0085A8
FBP,#116688
Gemmatimonadetes,#005566
Ignavibacteria,#79F2E6
Kiritimatiellaeota,#00e5ce
Lentisphaerae,#0A8997
Synergistetes,#00665B
AABM512524,#DAF2DB
Acetothermia,#79f27e
Bipolaricaulis,#79f27e
Bipolaricaulota,#79f27e
Atribacteria,#88aa88
AncK6,#00e50b
BRC1,#229922
Calescamantes,#3F7f42
Calescibacterota,#3F7f42
CK-2C2-2,#71D32E
Dadabacteria,#00a808
Deferribacteres,#118822
Deferrisomatota,#118822
Desantisbacteria,#006604
Edwardsbacteria,#003302
Eisenbacteria,#b5f279
Entotheonellaeota,#c2d8ad
Eremiobacterota,#72e500
Eremiobacteria,#72e500
WPS-2,#72e500
Goldbacteria,#ffff99
FCPU426,#53a800
Firestonebacteria,#5f7f3f
GAL15,#448811
Hydrogenedentes,#336600
Kapabacteria,#193300
Kapabacteriales,#193300
Latescibacteria,#edf2da
LCP-89,#dcf279
Lindowbacteria,#0dddbb
Margulisbacteria,#ccddaa
MBNT15,#d0d8ad
Nitrospinae,#bce500
OLB16,#99aa88
Omnitrophica,#ccff66
Omnitrophicaeota,#ccff66
PAUC34f,#747f3f
Poribacteria,#556600
Rokubacteria,#f2f0Da
Schekmanbacteria,#f2eb79
TA06,#ddddaa
UBA10030,#e5d800
UBA10199,#6D7073
UBA3054,#fff770
UBA9089,#f2eb79
UBP1,#a89e00
WOR-1,#f2d479
WS1,#a87f00
WS2,#777755
WS4,#886611
Zixibacteria,#ffdc70
Berkelbacteria,#F28579
Dependentiae,#ff7f70
Gracilibacteria,#7f463f
Falkowbacteria,#ffd9b3
Kazanbacteria,#ff9933
Microgenomates,#992222
Pacebacteria,#882211
Paceibacteria,#a81100
Parcubacteria,#661100
Patescibacteria,#ffb366
Uhrbacteria,#e65c00
Ambiguous_taxa,#1f1f1f
Bacteria,#1f1f1f
Other,#1f1f1f
Unassigned,#1f1f1f
Methanobacteria,#7d3c98
Methanomicrobia,#a569bd
Kuenenbacteria,#f39c12
Dojkabacteria,#f1c40f
Veblenbacteria,#f7dc6f
Marinimicrobia (SAR406 clade),#ff4b00